Nuclide,A,Z,N,CANIGEN,ORIGEN-S,WIMS
H-3,3,1,2,1.74e-05,1.37e-05, 
Ge-76,76,32,44,7.57e-05,8.3e-05, 
As-75,75,33,42,2.75e-05,3e-05, 
Se-77,77,34,43,0.000178,0.000196, 
Se-78,78,34,44,0.000473,0.000507, 
Se-79,79,34,45,0.00117,0.0013, 
Se-80,80,34,46,0.00298,0.00321, 
Se-82,82,34,48,0.00724,0.00786, 
Br-79,79,35,44,1.62e-08,2.19e-08, 
Br-81,81,35,46,0.0049,0.00533, 
Kr-83,83,36,47,0.00912,0.00992, 9.80E-03
Kr-84,84,36,48,0.022,0.0243, 
Kr-85,85,36,49,0.00505,0.0056, 
Kr-86,86,36,50,0.0376,0.0419, 
Rb-85,85,37,48,0.0206,0.0229, 
Rb-87,87,37,50,0.0491,0.0548, 
Sr-88,88,38,50,0.0711,0.0792, 
Sr-89,89,38,51,0.000217,0.000188, 
Sr-90,90,38,52,0.113,0.126, 
Y-89,89,39,50,0.0939,0.105, 
Y-90,90,39,51,2.84e-05,3.16e-05, 
Y-91,91,39,52,0.000556,0.000571, 
Zr-90,90,40,50,0.00363,0.00414, 
Zr-91,91,40,51,0.123,0.137, 
Zr-92,92,40,52,0.134,0.147, 
Zr-93,93,40,53,0.154,0.168, 
Zr-94,94,40,54,0.164,17.9, 
Zr-95,95,40,55,0.00127,0.00129, 
Zr-96,96,40,56,0.176,0.189, 
Nb-93,93,41,52,7.54e-09,1.18e-08, 
Nb-93m,93,41,52,8.52e-08,9.57e-08, 
Nb-95,95,41,54,0.0015,0.0016, 
Mo-95,95,42,53,0.17,0.184, 1.83E-01
Mo-96,96,42,54,0.00113,0.00131, 
Mo-97,97,42,55,0.181,0.193, 
Mo-98,98,42,56,0.185,0.196, 1.95E-01
Mo-100,100,42,58,0.215,0.226, 
Tc-99,99,43,56,0.192,0.205, 2.03E-01
Ru-100,100,44,56,0.00608,0.00689, 
Ru-101,101,44,57,0.181,0.189, 1.89E-01
Ru-102,102,44,58,0.174,0.18, 
Ru-103,103,44,59,8.09e-05,7.53e-05, 7.33E-05
Ru-104,104,44,60,0.135,0.133, 
Ru-106,106,44,62,0.0351,0.033, 
Rh-103,103,45,58,0.154,0.155, 1.53E-01
Rh-106,106,45,61,3.3e-08,3.1e-08, 
Pd-105,105,46,59,0.0839,0.0908, 9.01E-02
Pd-106,106,46,60,0.0762,0.0642, 
Pd-107,107,46,61,0.0596,0.0548, 
Pd-108,108,46,62,0.0402,0.0372, 3.78E-02
Pd-110,110,46,64,0.0116,0.0106, 
Ag-107,107,47,60,7.95e-09,7.27e-09, 
Ag-109,109,47,62,0.0227,0.0216, 2.87E-02
Ag-110m,110,47,63,3.26e-05,3.04e-05, 
Cd-110,110,48,62,0.00333,0.00254, 
Cd-111,111,48,63,0.00533,0.00487, 
D-112,112,48,64,0.00237,0.00219, 
Cd-113m,113,48,65,0.00277,3.12e-05, 
Cd-113,113,48,65,3.23e-05,3.39e-05, 2.77E-05
Cd-114,114,48,66,0.00281,0.00266, 
Cd-116,116,48,68,0.000875,0.000868, 
In-115,115,49,66,0.000655,0.00066, 6.78E-04
Sn-117,117,50,67,0.000877,0.000875, 
Sn-118,118,50,68,0.000902,0.000907, 
Sn-119m,119,50,69,4.4e-06,3.69e-06, 
Sn-119,119,50,69,0.000905,0.000904, 
Sn-120,120,50,70,0.000926,0.000932, 
Sn-121m,121,50,71,9.35e-07,7.26e-07, 
Sn-122,122,50,72,0.00104,0.00104, 
Sn-123,123,50,73,5.16e-05,2.5e-05, 
Sn-124,124,50,74,0.00155,0.00157, 
Sn-126,126,50,76,0.00487,0.00498, 
Sb-121,121,51,70,0.000967,0.000983, 
Sb-123,123,51,72,0.00113,0.00119, 
Sb-124,124,51,73,6.38e-08,8.92e-08, 
Sb-125,125,51,74,0.00217,0.00223, 
Sb-126,126,51,75,2.31e-10,2.37e-10, 
Te-125m,125,52,73,3.06e-05,3.1e-05, 
Te-125,125,52,73,0.000789,0.000787, 
Te-126,126,52,74,0.000156,0.000141, 
Te-127m,127,52,75,0.000106,0.0001, 
Te-128,128,52,76,0.0243,0.025, 
Te-129m,129,52,77,1.35e-06,8.52e-07, 
Te-130,130,52,78,0.0823,0.085, 
