Nuclide	 A  	 Z 	 N  	 CANIGEN 	 ORIGEN-S	 WIMS
H-3    	   3	  1	   2	 1.74E-05	 1.37E-05	 
Ge-76  	  76	 32	  44	 7.57E-05	 8.30E-05	 
As-75  	  75	 33	  42	 2.75E-05	 3.00E-05	 
Se-77  	  77	 34	  43	 1.78E-04	 1.96E-04	 
Se-78  	  78	 34	  44	 4.73E-04	 5.07E-04	 
Se-79  	  79	 34	  45	 1.17E-03	 1.30E-03	 
Se-80  	  80	 34	  46	 2.98E-03	 3.21E-03	 
Se-82  	  82	 34	  48	 7.24E-03	 7.86E-03	 
Br-79  	  79	 35	  44	 1.62E-08	 2.19E-08	 
Br-81  	  81	 35	  46	 4.90E-03	 5.33E-03	 
Kr-83  	  83	 36	  47	 9.12E-03	 9.92E-03	 9.80E-03
Kr-84  	  84	 36	  48	 2.20E-02	 2.43E-02	 
Kr-85  	  85	 36	  49	 5.05E-03	 5.60E-03	 
Kr-86  	  86	 36	  50	 3.76E-02	 4.19E-02	 
Rb-85  	  85	 37	  48	 2.06E-02	 2.29E-02	 
Rb-87  	  87	 37	  50	 4.91E-02	 5.48E-02	 
Sr-88  	  88	 38	  50	 7.11E-02	 7.92E-02	 
Sr-89  	  89	 38	  51	 2.17E-04	 1.88E-04	 
Sr-90  	  90	 38	  52	 1.13E-01	 1.26E-01	 
Y-89   	  89	 39	  50	 9.39E-02	 1.05E-01	 
Y-90   	  90	 39	  51	 2.84E-05	 3.16E-05	 
Y-91   	  91	 39	  52	 5.56E-04	 5.71E-04	 
Zr-90  	  90	 40	  50	 3.63E-03	 4.14E-03	 
Zr-91  	  91	 40	  51	 1.23E-01	 1.37E-01	 
Zr-92  	  92	 40	  52	 1.34E-01	 1.47E-01	 
Zr-93  	  93	 40	  53	 1.54E-01	 1.68E-01	 
Zr-94  	  94	 40	  54	 1.64E-01	 1.79E+01	 
Zr-95  	  95	 40	  55	 1.27E-03	 1.29E-03	 
Zr-96  	  96	 40	  56	 1.76E-01	 1.89E-01	 
Nb-93  	  93	 41	  52	 7.54E-09	 1.18E-08	 
Nb-93m 	  93	 41	  52	 8.52E-08	 9.57E-08	 
Nb-95  	  95	 41	  54	 1.50E-03	 1.60E-03	 
Mo-95  	  95	 42	  53	 1.70E-01	 1.84E-01	 1.83E-01
Mo-96  	  96	 42	  54	 1.13E-03	 1.31E-03	 
Mo-97  	  97	 42	  55	 1.81E-01	 1.93E-01	 
Mo-98  	  98	 42	  56	 1.85E-01	 1.96E-01	 1.95E-01
Mo-100 	 100	 42	  58	 2.15E-01	 2.26E-01	 
Tc-99  	  99	 43	  56	 1.92E-01	 2.05E-01	 2.03E-01
Ru-100 	 100	 44	  56	 6.08E-03	 6.89E-03	 
Ru-101 	 101	 44	  57	 1.81E-01	 1.89E-01	 1.89E-01
Ru-102 	 102	 44	  58	 1.74E-01	 1.80E-01	 
Ru-103 	 103	 44	  59	 8.09E-05	 7.53E-05	 7.33E-05
Ru-104 	 104	 44	  60	 1.35E-01	 1.33E-01	 
Ru-106 	 106	 44	  62	 3.51E-02	 3.30E-02	 
Rh-103 	 103	 45	  58	 1.54E-01	 1.55E-01	 1.53E-01
Rh-106 	 106	 45	  61	 3.30E-08	 3.10E-08	 
Pd-105 	 105	 46	  59	 8.39E-02	 9.08E-02	 9.01E-02
Pd-106 	 106	 46	  60	 7.62E-02	 6.42E-02	 
Pd-107 	 107	 46	  61	 5.96E-02	 5.48E-02	 
Pd-108 	 108	 46	  62	 4.02E-02	 3.72E-02	 3.78E-02
Pd-110 	 110	 46	  64	 1.16E-02	 1.06E-02	 
Ag-107 	 107	 47	  60	 7.95E-09	 7.27E-09	 
Ag-109 	 109	 47	  62	 2.27E-02	 2.16E-02	 2.87E-02
Ag-110m	 110	 47	  63	 3.26E-05	 3.04E-05	 
Cd-110 	 110	 48	  62	 3.33E-03	 2.54E-03	 
Cd-111 	 111	 48	  63	 5.33E-03	 4.87E-03	 
D-112  	 112	 48	  64	 2.37E-03	 2.19E-03	 
Cd-113m	 113	 48	  65	 2.77E-03	 3.12E-05	 
Cd-113 	 113	 48	  65	 3.23E-05	 3.39E-05	 2.77E-05
Cd-114 	 114	 48	  66	 2.81E-03	 2.66E-03	 
Cd-116 	 116	 48	  68	 8.75E-04	 8.68E-04	 
In-115 	 115	 49	  66	 6.55E-04	 6.60E-04	 6.78E-04
Sn-117 	 117	 50	  67	 8.77E-04	 8.75E-04	 
Sn-118 	 118	 50	  68	 9.02E-04	 9.07E-04	 
Sn-119m	 119	 50	  69	 4.40E-06	 3.69E-06	 
Sn-119 	 119	 50	  69	 9.05E-04	 9.04E-04	 
Sn-120 	 120	 50	  70	 9.26E-04	 9.32E-04	 
Sn-121m	 121	 50	  71	 9.35E-07	 7.26E-07	 
Sn-122 	 122	 50	  72	 1.04E-03	 1.04E-03	 
Sn-123 	 123	 50	  73	 5.16E-05	 2.50E-05	 
Sn-124 	 124	 50	  74	 1.55E-03	 1.57E-03	 
Sn-126 	 126	 50	  76	 4.87E-03	 4.98E-03	 
Sb-121 	 121	 51	  70	 9.67E-04	 9.83E-04	 
Sb-123 	 123	 51	  72	 1.13E-03	 1.19E-03	 
Sb-124 	 124	 51	  73	 6.38E-08	 8.92E-08	 
Sb-125 	 125	 51	  74	 2.17E-03	 2.23E-03	 
Sb-126 	 126	 51	  75	 2.31E-10	 2.37E-10	 
Te-125m	 125	 52	  73	 3.06E-05	 3.10E-05	 
Te-125 	 125	 52	  73	 7.89E-04	 7.87E-04	 
Te-126 	 126	 52	  74	 1.56E-04	 1.41E-04	 
Te-127m	 127	 52	  75	 1.06E-04	 1.00E-04	 
Te-128 	 128	 52	  76	 2.43E-02	 2.50E-02	 
Te-129m	 129	 52	  77	 1.35E-06	 8.52E-07	 
Te-130 	 130	 52	  78	 8.23E-02	 8.50E-02	 
I-127  	 127	 53	  74	 1.18E-02	 1.23E-02	 1.18E-02
I-129  	 129	 53	  76	 4.35E-02	 4.49E-02	 
I-131  	 131	 53	  78	 1.72E-16	 1.70E-16	 1.92E-16
Xe-129 	 129	 54	  75	 2.35E-09	 3.12E-07	 
Xe-131 	 131	 54	  77	 1.24E-01	 1.31E-01	 
Xe-132 	 132	 54	  78	 2.20E-01	 2.30E-01	 
Xe-134 	 134	 54	  80	 3.28E-01	 3.51E-01	 
Xe-136 	 136	 54	  82	 5.75E-01	 6.02E-01	 
Cs-133 	 133	 55	  78	 2.81E-01	 3.02E-01	 2.95E-01
Cs-134 	 134	 55	  79	 9.23E-03	 8.06E-03	 7.88E-03
Cs-135 	 135	 55	  80	 2.01E-02	 2.37E-02	 2.25E-02
Cs-137 	 137	 55	  82	 2.80E-01	 2.94E-01	 
Ba-134 	 134	 56	  78	 4.57E-03	 4.00E-03	 
Ba-135 	 135	 56	  79	 1.08E-06	 1.56E-06	 
Ba-137m	 137	 56	  81	 4.26E-08	 4.48E-08	 
Ba-137 	 137	 56	  81	 8.50E-03	 9.05E-03	 
Ba-138 	 138	 56	  82	 2.81E-01	 3.00E-01	 
La-139 	 139	 57	  82	 2.73E-01	 2.90E-01	 2.86E-01
Ce-140 	 140	 58	  82	 2.73E-01	 3.05E-01	 
Ce-141 	 141	 58	  83	 2.26E-05	 2.26E-05	 
Ce-142 	 142	 58	  84	 2.53E-01	 2.71E-01	 
Ce-144 	 144	 58	  86	 6.94E-02	 7.31E-02	 
Pr-141 	 141	 59	  82	 2.52E-01	 2.69E-01	 
Pr-143 	 143	 59	  84	 1.67E-10	 1.75E-10	 
Pr-144 	 144	 59	  85	 2.93E-06	 3.09E-06	 
Pr-144m	 144	 59	  85	 1.46E-08	 1.54E-08	 
Nd-142 	 142	 60	  82	 1.80E-03	 2.18E-03	 
Nd-143 	 143	 60	  83	 1.89E-01	 2.05E-01	 1.89E-01
Nd-144 	 144	 60	  84	 2.05E-01	 2.22E-01	 2.28E-01
Nd-145 	 145	 60	  85	 1.58E-01	 1.70E-01	 1.67E-01
Nd-146 	 146	 60	  86	 1.43E-01	 1.51E-01	 1.49E-01
