z,n,name,bindingEnergy,bindingEnergyUncertainty
0,1,Neutron,0.0,0.0
1,0,1H,0.0,0.0
1,1,2H,1.11E+3,2.00E-4
1,2,3H,2.82E+3,3.00E-4
1,3,4H,1.72E+3,2.50E+1
1,4,5H,1.33E+3,1.78E+1
1,5,6H,9.61E+2,4.23E+1
1,6,7H,9.40E+2,1.43E+2
2,1,3He,2.57E+3,1.50E-4
2,2,4He,7.07E+3,2.00E-4
2,3,5He,5.51E+3,4.00
2,4,6He,4.87E+3,8.90E-3
2,5,7He,4.12E+3,1.07
2,6,8He,3.92E+3,1.11E-2
2,7,9He,3.34E+3,5.20
2,8,10He,2.99E+3,9.28
3,1,4Li,1.15E+3,5.30E+1
3,2,5Li,5.26E+3,1.00E+1
3,3,6Li,5.33E+3,3.00E-4
3,4,7Li,5.60E+3,6.00E-4
3,5,8Li,5.15E+3,5.90E-3
3,6,9Li,5.03E+3,2.07E-2
3,7,10Li,4.53E+3,1.27
3,8,11Li,4.15E+3,5.59E-2
3,9,12Li,3.79E+3,2.50
3,10,13Li,3.50E+3,5.38
4,2,6Be,4.48E+3,9.08E-1
4,3,7Be,5.37E+3,1.01E-2
4,4,8Be,7.06E+3,4.40E-3
4,5,9Be,6.46E+3,8.50E-3
4,6,10Be,6.49E+3,8.10E-3
4,7,11Be,5.95E+3,2.16E-2
4,8,12Be,5.72E+3,1.59E-1
4,9,13Be,5.24E+3,7.83E-1
4,11,15Be,4.54E+3,1.10E+1
4,12,16Be,4.28E+3,1.03E+1
4,10,14Be,4.99E+3,9.44
5,12,17B,5.26E+3,1.20E+1
5,13,18B,4.97E+3,1.13E+1
5,14,19B,4.71E+3,2.76E+1
5,15,20B,4.40E+3,2.73E+1
5,16,21B,4.15E+3,2.66E+1
5,10,15B,5.88E+3,1.40
5,11,16B,5.50E+3,1.53
5,2,7B,3.55E+3,3.59
5,3,8B,4.71E+3,1.25E-1
5,4,9B,6.25E+3,1.00E-1
5,5,10B,6.47E+3,1.50E-3
5,6,11B,6.92E+3,1.10E-3
5,7,12B,6.63E+3,1.10E-1
5,8,13B,6.49E+3,7.69E-2
5,9,14B,6.10E+3,1.51
6,2,8C,3.10E+3,2.28
6,3,9C,4.33E+3,2.37E-1
6,4,10C,6.03E+3,7.00E-3
6,5,11C,6.67E+3,5.40E-3
6,6,12C,7.68E+3,2.00E-4
6,7,13C,7.46E+3,2.00E-4
6,8,14C,7.52E+3,4.00E-4
6,9,15C,7.10E+3,5.33E-2
6,14,20C,5.96E+3,1.15E+1
6,13,19C,6.11E+3,5.17
6,16,22C,5.42E+3,1.05E+1
6,10,16C,6.92E+3,2.23E-1
6,12,18C,6.42E+3,1.66
6,11,17C,6.55E+3,1.02
7,15,22N,6.37E+3,9.44
7,14,21N,6.60E+3,6.38
7,17,24N,5.88E+3,1.70E+1
7,16,23N,6.23E+3,1.82E+1
7,11,18N,7.03E+3,1.03
7,10,17N,7.28E+3,8.82E-1
7,13,20N,6.70E+3,3.94
7,12,19N,6.94E+3,8.63E-1
7,3,10N,3.64E+3,4.00E+1
7,4,11N,5.35E+3,4.54E-1
7,5,12N,6.17E+3,8.33E-2
7,6,13N,7.23E+3,2.07E-2
7,7,14N,7.47E+3,2.00E-4
7,8,15N,7.69E+3,2.00E-4
7,9,16N,7.37E+3,1.43E-1
8,17,25O,6.72E+3,6.60
8,18,26O,6.49E+3,6.34
8,15,23O,7.16E+3,5.29
8,16,24O,7.03E+3,6.86
8,10,18O,7.76E+3,2.00E-4
8,13,21O,7.38E+3,5.71E-1
8,14,22O,7.36E+3,2.58
8,11,19O,7.56E+3,1.38E-1
8,12,20O,7.56E+3,4.42E-2
8,20,28O,5.98E+3,2.50E+1
8,3,11O,3.16E+3,5.45
8,4,12O,4.88E+3,1.00
8,5,13O,5.81E+3,7.32E-1
8,6,14O,7.05E+3,1.80E-3
8,7,15O,7.46E+3,3.27E-2
8,8,16O,7.97E+3,2.00E-4
8,9,17O,7.75E+3,2.00E-4
9,18,27F,6.87E+3,4.45
9,19,28F,6.62E+3,4.29
9,16,25F,7.33E+3,3.85
9,17,26F,7.08E+3,4.11
9,17,26F,7.08E+3,4.11
9,10,19F,7.77E+3,2.00E-4
9,11,20F,7.72E+3,1.50E-3
9,14,23F,7.62E+3,1.44
9,15,24F,7.46E+3,4.06
9,12,21F,7.73E+3,8.57E-2
9,13,22F,7.62E+3,5.63E-1
9,21,30F,6.20E+3,1.70E+1
9,22,31F,6.01E+3,1.70E+1
9,20,29F,6.44E+3,1.81E+1
9,5,14F,5.28E+3,2.93
9,6,15F,6.49E+3,9.33E-1
9,7,16F,6.96E+3,3.35E-1
9,8,17F,7.54E+3,1.46E-2
9,9,18F,7.63E+3,2.57E-2
10,10,20Ne,8.03E+3,2.00E-4
10,11,21Ne,7.97E+3,1.80E-3
10,12,22Ne,8.08E+3,8.00E-4
10,13,23Ne,7.95E+3,4.49E-3
10,14,24Ne,7.99E+3,2.14E-2
10,15,25Ne,7.83E+3,1.16
10,16,26Ne,7.75E+3,7.08E-1
10,17,27Ne,7.52E+3,3.36
10,18,28Ne,7.38E+3,4.50
10,19,29Ne,7.16E+3,5.15
10,20,30Ne,7.03E+3,8.44
10,21,31Ne,6.81E+3,8.58
10,22,32Ne,6.67E+3,1.60E+1
10,23,33Ne,6.43E+3,1.80E+1
10,24,34Ne,6.28E+3,1.50E+1
10,9,19Ne,7.56E+3,8.40E-3
10,7,17Ne,6.64E+3,2.08E-2
10,8,18Ne,7.34E+3,2.02E-2
10,5,15Ne,4.86E+3,4.44
10,6,16Ne,6.08E+3,1.28
11,9,20Na,7.29E+3,5.54E-2
11,8,19Na,6.93E+3,5.54E-1
11,7,18Na,6.20E+3,5.21
11,6,17Na,5.52E+3,3.50
11,21,32Na,7.21E+3,1.16
11,20,31Na,7.39E+3,4.50E-1
