,task,start_week,end_week,phase,description,place
0,Literature Review,0.6666666666666666,1.3333333333333333,Pilot,Become familiar with XLZD progress and goals,Home
1,Code Bootup,1.3333333333333333,2.0,Pilot,Install dependencies and ensure existing code can run,Home
2,Project Refinement,2.0,4.0,Pilot,Refine project goals and deliverables as the constraints of the code become clear,Home
3,Code Proficiency,2.0,6.666666666666667,Pilot,Learn what's necessary to run the existing simulations and develop my own contributions,Abroad
4,Plan Implementation,6.0,6.666666666666667,Development,Plan out the implementation of the code; how will we calculate what's desired?,Abroad
5,Targeted Development,6.666666666666667,9.333333333333334,Development,Develop bespoke simulation and analysis code for sensitivity studies,Abroad
6,Test and Document,6.666666666666667,13.333333333333334,Development,Consistently testing and documenting code development.,Abroad
7,Tweak Parameters,10.0,10.666666666666666,Execution,Tweak and adjust code as necessary to prepare for full-scale simulations,Abroad
8,Full Scale Simulation,10.0,12.0,Execution,Run some full scale simulations to produce a clean dataset for publication,Abroad
9,Analysis,12.0,13.333333333333334,Execution,Analyze the simulated data to yield the final results,Abroad
10,Prepare Results and Plots,13.333333333333334,14.666666666666666,Publication,Prepare plots and results for publication,Abroad
11,Writing,14.0,16.0,Publication,Draft a paper on the completed work including data and plots,Abroad
12,Review and Submission,16.0,17.333333333333332,Publication,Share the draft with collaborators for rewview before ultimate submission,Abroad
